Sample_name16S,Sample_nameVER,Experiment,Sample_or_control,Incubation,Soil,Treatment
1_1,1_1,dunglabsamples,sample,anaerobic,madras,untreated
1_2,1_2,dunglabsamples,sample,anaerobic,madras,untreated
1_3,1_3,dunglabsamples,sample,anaerobic,madras,untreated
2_1,2_1,dunglabsamples,sample,anaerobic,madras,DADS_1gal_A
2_2,2_2,dunglabsamples,sample,anaerobic,madras,DADS_1gal_A
2_3,2_3,dunglabsamples,sample,anaerobic,madras,DADS_1gal_A
3_1,3_1,dunglabsamples,sample,anaerobic,tulelake,untreated
3_2,3_2,dunglabsamples,sample,anaerobic,tulelake,untreated
3_3,3_3,dunglabsamples,sample,anaerobic,tulelake,untreated
4_1,4_1,dunglabsamples,sample,anaerobic,tulelake,DADS_1gal_A
4_2,4_2,dunglabsamples,sample,anaerobic,tulelake,DADS_1gal_A
4_3,4_3,dunglabsamples,sample,anaerobic,tulelake,DADS_1gal_A
5_1,5_1,dunglabsamples,sample,aerobic,madras,untreated
5_2,5_2,dunglabsamples,sample,aerobic,madras,untreated
5_3,5_3,dunglabsamples,sample,aerobic,madras,untreated
6_1,6_1,dunglabsamples,sample,aerobic,madras,DADS_1gal_A
6_2,6_2,dunglabsamples,sample,aerobic,madras,DADS_1gal_A
6_3,6_3,dunglabsamples,sample,aerobic,madras,DADS_1gal_A
7_1,7_1,dunglabsamples,sample,aerobic,tulelake,untreated
7_2,7_2,dunglabsamples,sample,aerobic,tulelake,untreated
7_3,7_3,dunglabsamples,sample,aerobic,tulelake,untreated
8_1,8_1,dunglabsamples,sample,aerobic,tulelake,DADS_1gal_A
8_2,8_2,dunglabsamples,sample,aerobic,tulelake,DADS_1gal_A
8_3,8_3,dunglabsamples,sample,aerobic,tulelake,DADS_1gal_A
emptyextraction,emptyextraction,NA,control,NA,NA,NA
NTC,NTCPCRcontrol,NA,control,NA,NA,NA
10gHD4379,10gHD4379,10g,sample,NA,NA,NA
10gHD4397,10gHD4397,10g,sample,NA,NA,NA
HD4337-S1,HD4337-S1,basetree_100plots,sample,NA,NA,NA
HD4339-S1,HD4339-S1,basetree_100plots,sample,NA,NA,NA
HD4340-S1,HD4340-S1,basetree_100plots,sample,NA,NA,NA
HD4341-S1,HD4341-S1,basetree_100plots,sample,NA,NA,NA
HD4343-S1,HD4343-S1,basetree_100plots,sample,NA,NA,NA
HD4349-S1,HD4349-S1,basetree_100plots,sample,NA,NA,NA
HD4355-S1,HD4355-S1,basetree_100plots,sample,NA,NA,NA
HD4356-S1,HD4356-S1,basetree_100plots,sample,NA,NA,NA
HD4357-S1,HD4357-S1,basetree_100plots,sample,NA,NA,NA
HD4358-S1,HD4358-S1,basetree_100plots,sample,NA,NA,NA
HD4359-S1,HD4359-S1,basetree_100plots,sample,NA,NA,NA
HD4360-S1,HD4360-S1,basetree_100plots,sample,NA,NA,NA
HD4365-S1,HD4365-S1,basetree_100plots,sample,NA,NA,NA
HD4366-S1,HD4366-S1,basetree_100plots,sample,NA,NA,NA
HD4367-S1,HD4367-S1,basetree_100plots,sample,NA,NA,NA
HD4368-S1,HD4368-S1,basetree_100plots,sample,NA,NA,NA
HD4369-S1,HD4369-S1,basetree_100plots,sample,NA,NA,NA
HD4376-S1,HD4376-S1,basetree_100plots,sample,NA,NA,NA
HD4377-S1,HD4377-S1,basetree_100plots,sample,NA,NA,NA
HD4378-S1,HD4378-S1,basetree_100plots,sample,NA,NA,NA
HD4379-S10,HD4379-S10,plots5_samples20,sample,NA,NA,NA
HD4379-S11,HD4379-S11,plots5_samples20,sample,NA,NA,NA
HD4379-S112_13,HD4379-S1-12_13,plots5_samples20,sample,NA,NA,NA
HD4379-S112_2,HD4379-S1-12_2,basetree_100plots,sample,NA,NA,NA
HD4379-S12,HD4379-S12,plots5_samples20,sample,NA,NA,NA
HD4379-S13,HD4379-S13,plots5_samples20,sample,NA,NA,NA
